ID,住所,住所（丁目）,住所（番地等）,原因（特定できた場合のみ記載）,被害,発生年月日,branch1,branch2,address,x,y,year
1,青葉台,1,1付近,台風18号,道路冠水,1991年9月19日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,1991
2,青葉台,1,1付近,大雨,床下浸水,2002年8月2日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,2002
3,青葉台,1,1付近,大雨,床上浸水,2002年9月12日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,2002
4,青葉台,1,1付近,集中豪雨,床下浸水,2003年10月13日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,2003
5,青葉台,1,1付近,大雨,床下浸水,2004年9月26日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,2004
6,青葉台,1,1付近,台風9号,道路冠水,2010年9月8日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,2010
7,青葉台,1,1付近,大雨,道路冠水,2011年8月26日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,2011
8,青葉台,1,1付近,大雨,床下浸水,2011年8月26日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,2011
9,青葉台,1,1付近,台風18号,床下浸水,2014年10月6日,1,,千葉県柏市青葉台1-1 ,139.96419,35.81704,2014
10,青葉台,1,9付近,台風26号,床下浸水,2013年10月16日,9,,千葉県柏市青葉台1-9 ,139.96283,35.81624,2013
11,青葉台,1,9付近,台風26号,床下浸水,2013年10月16日,9,,千葉県柏市青葉台1-9 ,139.96283,35.81624,2013
12,青葉台,1,9付近,台風26号,床下浸水,2013年10月16日,9,,千葉県柏市青葉台1-9 ,139.96283,35.81624,2013
13,青葉台,1,9付近,台風26号,床下浸水,2013年10月16日,9,,千葉県柏市青葉台1-9 ,139.96283,35.81624,2013
14,青葉台,1,9付近,台風26号,床下浸水,2013年10月16日,9,,千葉県柏市青葉台1-9 ,139.96283,35.81624,2013
15,青葉台,1,10付近,台風15号,道路冠水,1991年9月8日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,1991
16,青葉台,1,10付近,台風11号,道路冠水,1993年8月26日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,1993
17,青葉台,1,10付近,集中豪雨,道路冠水,2008年8月30日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2008
18,青葉台,1,10付近,台風26号,道路冠水,2013年10月16日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2013
19,青葉台,1,10付近,台風26号,床上浸水,2013年10月16日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2013
20,青葉台,1,10付近,台風26号,床下浸水,2013年10月16日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2013
21,青葉台,1,10付近,台風26号,床下浸水,2013年10月16日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2013
22,青葉台,1,10付近,台風26号,床下浸水,2013年10月16日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2013
23,青葉台,1,10付近,台風26号,床下浸水,2013年10月16日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2013
24,青葉台,1,10付近,台風26号,床下浸水,2013年10月16日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2013
25,青葉台,1,10付近,台風9号,道路冠水,2016年8月22日,10,,千葉県柏市青葉台1-10 ,139.96338,35.81663,2016
26,青葉台,1,15付近,集中豪雨,床下浸水,2003年10月13日,15,,千葉県柏市青葉台1-15 ,139.9617,35.8143,2003
27,青葉台,1,24付近,大雨,道路冠水,2002年8月2日,24,,千葉県柏市青葉台1-24 ,139.9606,35.815,2002
28,青葉台,1,24付近,集中豪雨,道路冠水,2003年10月13日,24,,千葉県柏市青葉台1-24 ,139.9606,35.815,2003
29,青葉台,2,2付近,台風18号,道路冠水,2014年10月6日,2,,千葉県柏市青葉台2-2 ,139.95979,35.81395,2014
30,青葉台,2,4付近,台風18号,道路冠水,1991年9月19日,4,,千葉県柏市青葉台2-4 ,139.95915,35.81321,1991
31,青葉台,2,8付近,集中豪雨,床下浸水,2008年8月30日,8,,千葉県柏市青葉台2-8 ,139.95824,35.81389,2008
32,青葉台,2,8付近,台風26号,道路冠水,2013年10月16日,8,,千葉県柏市青葉台2-8 ,139.95824,35.81389,2013
33,青葉台,2,24付近,大雨,道路冠水,2021年3月13日,24,,千葉県柏市青葉台2-24 ,139.95801,35.81465,2021
34,青葉台,,2付近,台風18号,道路冠水,2014年10月6日,2,,千葉県柏市青葉台2 ,139.95786,35.81353,2014
35,あかね町,,3付近,集中豪雨,道路冠水,2003年10月14日,3,,千葉県柏市あかね町3 ,139.98048,35.85155,2003
36,あかね町,,3付近,集中豪雨,床下浸水,2003年10月14日,3,,千葉県柏市あかね町3 ,139.98048,35.85155,2003
